domain,majestic_rank,redability_score,urls
wikimedia.org,98,16.3,https://meta.wikimedia.org/wiki/Privacy_policy;https://foundation.wikimedia.org/wiki/Privacy_policy
ibm.com,95,15.8,https://www.ibm.com/privacy/de/de/
msn.com,74,15.4,https://go.microsoft.com/fwlink/?LinkId=521839
plus.google.com,10,23.4,https://accounts.google.com/TOS?loc=IT&hl=it&privacy=true
tinyurl.com,78,14.6,https://tinyurl.com/privacy.php
fpdownload.macromedia.com,92,21.3,https://www.adobe.com/privacy.html
mit.edu,91,15.5,http://mit.edu/privacy;http://web.mit.edu/privacy
sites.google.com,48,23.4,https://accounts.google.com/TOS?loc=IT&hl=it&privacy=true
paypal.com,75,20.1,https://www.paypal.com/us/webapps/mpp/ua/privacy-full;https://www.paypal.com/it/webapps/mpp/ua/privacy-full
github.com,24,15.2,https://help.github.com/articles/github-privacy-statement/
amazon.com,26,16.1,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496&ref_=footer_privacy
yahoo.com,28,16.4,https://www.verizonmedia.com/policies/ie/en/verizonmedia/privacy/index.html
youtu.be,14,0.0,https://www.google.com/intl/en/policies/privacy/
youtube.com,3,0.0,https://www.google.com/intl/en/policies/privacy/
php.net,58,21.9,https://www.php.net/privacy.php
weebly.com,62,19.0,https://squareup.com/us/en/legal/general/weebly-ca-privacy-disclosure;https://www.weebly.com/privacy;https://www.weebly.com/privacy/
docs.google.com,29,23.4,https://accounts.google.com/TOS?loc=IT&hl=it&privacy=true
tumblr.com,30,0.0,https://www.tumblr.com/privacy_policy
vk.com,70,17.1,https://vk.com/privacy/cookies
apache.org,37,19.2,http://apache.org/foundation/policies/privacy.html
forbes.com,53,0.0,https://www.forbes.com/fdc/privacy.html
go.microsoft.com,32,15.7,https://go.microsoft.com/fwlink/?LinkId=521839;https://privacy.microsoft.com/it-it
w3.org,41,21.8,http://www.w3.org/Consortium/Recruitement/#2020-priv-sec-exec;http://www.w3.org/Privacy/
creativecommons.org,60,0.0,https://creativecommons.org/privacy/
adobe.com,12,21.3,https://www.adobe.com/privacy.html
virginmedia.com,82,15.5,https://www.virginmedia.com/shop/the-legal-stuff/privacy-policy.html
oracle.com,73,18.2,https://www.oracle.com/legal/privacy/privacy-policy.html;https://www.oracle.com/legal/privacy/marketing-cloud-data-cloud-privacy-policy.html#adchoices;https://www.oracle.com/legal/privacy/;https://www.oracle.com/legal/privacy/privacy-choices.html
support.apple.com,69,16.4,https://www.apple.com/legal/privacy/en-ww/
bit.ly,23,16.5,https://bitly.com/pages/privacy
reuters.com,79,16.3,https://www.thomsonreuters.com/en/privacy-statement.html
play.google.com,18,18.7,https://payments.google.com/legaldocument?family=0.privacynotice&hl=en_US;https://policies.google.com/privacy
sourceforge.net,46,17.0,http://slashdotmedia.com/privacy-statement/;https://slashdotmedia.com/privacy-statement/
bbc.com,94,14.6,https://www.bbc.co.uk/usingthebbc/privacy/
wordpress.org,27,16.7,https://wordpress.org/about/privacy/
slideshare.net,89,15.5,https://www.slideshare.net/privacy;http://www.linkedin.com/legal/privacy-policy
wix.com,93,18.6,https://www.wix.com/about/privacy
accounts.google.com,86,23.4,https://accounts.google.com/TOS?loc=IT&hl=it&privacy=true
drive.google.com,36,0.0,https://www.google.com/intl/it/policies/privacy/
gravatar.com,39,16.2,http://automattic.com/privacy/
godaddy.com,33,18.8,https://it.godaddy.com/agreements/showdoc?pageid=PRIVACY;https://it.godaddy.com/domains/full-domain-privacy-and-protection
www.ncbi.nlm.nih.gov,64,14.9,https://www.nlm.nih.gov/privacy.html
dropbox.com,57,14.4,https://www.dropbox.com/privacy
en.wikipedia.org,11,16.3,https://foundation.wikimedia.org/wiki/Privacy_policy
wsj.com,80,21.4,https://www.dowjones.com/privacy-policy/;https://dowjones.com/privacy-notice/?mod=WSJ
wordpress.com,21,16.7,https://wordpress.org/about/privacy/
whatsapp.com,71,18.2,https://www.whatsapp.com/legal/
harvard.edu,97,16.3,https://www.harvard.edu/privacy-statement
apple.com,8,11.9,https://www.apple.com/legal/privacy/;https://www.apple.com/privacy/
github.io,59,15.2,https://github.com/site/privacy
europa.eu,43,22.7,https://europa.eu/european-union/abouteuropa/privacy-policy_en
mozilla.org,31,14.9,https://www.mozilla.org/en-US/privacy/firefox/;https://www.fastcompany.com/90447583/our-collective-privacy-problem-is-not-your-fault;https://blog.mozilla.org/blog/2019/10/22/latest-firefox-brings-privacy-protections-front-and-center-letting-you-track-the-trackers/?utm_source=www.mozilla.org&utm_medium=referral&utm_campaign=homepage&utm_content=card;https://www.mozilla.org/en-US/privacy/websites/;https://www.mozilla.org/en-US/privacy/websites/#cookies;https://www.mozilla.org/en-US/privacy/;https://fpn.firefox.com/?utm_source=www.mozilla.org&utm_medium=referral&utm_campaign=homepage&utm_content=card;https://blog.mozilla.org/firefox/holiday-shopping-privacy/?utm_source=www.mozilla.org&utm_medium=referral&utm_campaign=homepage&utm_content=card;https://foundation.mozilla.org/privacynotincluded/?utm_source=www.mozilla.org&utm_medium=referral&utm_campaign=homepage&utm_content=card;https://www.mozilla.org/en-US/about/manifesto/
theguardian.com,54,14.7,https://www.theguardian.com/help/privacy-policy
nytimes.com,44,15.9,https://help.nytimes.com/hc/en-us/articles/115014892108-Privacy-policy
support.google.com,40,0.0,https://www.google.com/intl/en/privacy.html
cnn.com,55,17.1,https://www.cnn.com/privacy0?no-st=9999999999;https://edition.cnn.com/privacy
goo.gl,19,27.2,https://developers.googleblog.com/search/label/differential%20privacy;https://developers.googleblog.com/search/label/privacy;https://www.google.com/policies/privacy/
flickr.com,34,16.2,https://www.flickr.com/help/privacy;https://flickr.com/help/privacy
opera.com,90,13.4,https://www.opera.com/privacy/cookies;https://www.opera.com/privacy
imdb.com,83,15.2,https://www.imdb.com/privacy?ref_=ft_pvc
issuu.com,72,18.0,https://issuu.com/legal/privacy;https://issuu.com:443/legal/privacy
player.vimeo.com,25,14.0,https://vimeo.com/privacy;https://vimeo.com/privacy/california-privacy
gnu.org,76,19.5,https://www.laquadrature.net/en/personnal-data/
washingtonpost.com,85,15.7,https://www.washingtonpost.com/privacy-policy/2011/11/18/gIQASIiaiN_story.html?noredirect=on;https://subscribe.washingtonpost.com/acq/#/marketing/promo/o17_eu_ba/offer/1577?tid=privacy_wall;https://www.washingtonpost.com/privacy-policy/2011/11/18/gIQASIiaiN_story.html;https://subscribe.washingtonpost.com/acq/#/marketing/promo/o17_eu_prem/offer/1571?tid=privacy_wall;https://www.washingtonpost.com/subscribe/signin/?tid=privacy_wall
t.co,52,16.4,https://twitter.com/privacy
